date,/m/02f84__0,/m/02f84_,batch_id
2020-05-21,5.0,5.0,1
2020-05-22,9.0,9.0,1
2020-05-23,5.0,5.0,1
2020-05-24,5.0,5.0,1
2020-05-25,0.0,0.0,1
2020-05-26,4.0,4.0,1
2020-05-27,5.0,5.0,1
2020-05-28,0.0,0.0,1
2020-05-29,5.0,5.0,1
2020-05-30,0.0,0.0,1
2020-05-31,5.0,5.0,1
2020-06-01,5.0,5.0,1
2020-06-02,9.0,9.0,1
2020-06-03,4.0,4.0,1
2020-06-04,4.0,4.0,1
2020-06-05,4.0,4.0,1
2020-06-06,15.0,15.0,1
2020-06-07,0.0,0.0,1
2020-06-08,8.0,8.0,1
2020-06-09,0.0,0.0,1
2020-06-10,18.0,18.0,1
2020-06-11,9.0,9.0,1
2020-06-12,5.0,5.0,1
2020-06-13,0.0,0.0,1
2020-06-14,5.0,5.0,1
2020-06-15,9.0,9.0,1
2020-06-16,0.0,0.0,1
2020-06-17,9.0,9.0,1
2020-06-18,9.0,9.0,1
2020-06-19,5.0,5.0,1
2020-06-20,11.0,11.0,1
2020-06-21,5.0,5.0,1
2020-06-22,0.0,0.0,1
2020-06-23,9.0,9.0,1
2020-06-24,10.0,10.0,1
2020-06-25,14.0,14.0,1
2020-06-26,5.0,5.0,1
2020-06-27,0.0,0.0,1
2020-06-28,10.0,10.0,1
2020-06-29,9.0,9.0,1
2020-06-30,4.0,4.0,1
2020-07-01,4.0,4.0,1
2020-07-02,13.0,13.0,1
2020-07-03,0.0,0.0,1
2020-07-04,5.0,5.0,1
2020-07-05,5.0,5.0,1
2020-07-06,4.0,4.0,1
2020-07-07,0.0,0.0,1
2020-07-08,9.0,9.0,1
2020-07-09,5.0,5.0,1
2020-07-10,10.0,10.0,1
2020-07-11,0.0,0.0,1
2020-07-12,0.0,0.0,1
2020-07-13,5.0,5.0,1
2020-07-14,5.0,5.0,1
2020-07-15,14.0,14.0,1
2020-07-16,5.0,5.0,1
2020-07-17,0.0,0.0,1
2020-07-18,12.0,12.0,1
2020-07-19,0.0,0.0,1
2020-07-20,5.0,5.0,1
2020-07-21,0.0,0.0,1
2020-07-22,0.0,0.0,1
2020-07-23,0.0,0.0,1
2020-07-24,10.0,10.0,1
2020-07-25,0.0,0.0,1
2020-07-26,0.0,0.0,1
2020-07-27,14.0,14.0,1
2020-07-28,5.0,5.0,1
2020-07-29,5.0,5.0,1
2020-07-30,5.0,5.0,1
2020-07-31,5.0,5.0,1
2020-08-01,18.0,18.0,1
2020-08-02,5.0,5.0,1
2020-08-03,9.0,9.0,1
2020-08-04,10.0,10.0,1
2020-08-05,10.0,10.0,1
2020-08-06,10.0,10.0,1
2020-08-07,0.0,0.0,1
2020-08-08,6.0,6.0,1
2020-08-09,0.0,0.0,1
2020-08-10,10.0,10.0,1
2020-08-11,0.0,0.0,1
2020-08-12,0.0,0.0,1
2020-08-13,5.0,5.0,1
2020-08-14,5.0,5.0,1
2020-08-15,11.0,11.0,1
2020-08-16,0.0,0.0,1
2020-08-17,9.0,9.0,1
2020-08-18,10.0,10.0,1
2020-08-19,5.0,5.0,1
2020-08-20,5.0,5.0,1
2020-08-21,5.0,5.0,1
2020-08-22,0.0,0.0,1
2020-08-23,5.0,5.0,1
2020-08-24,5.0,5.0,1
2020-08-25,10.0,10.0,1
2020-08-26,10.0,10.0,1
2020-08-27,5.0,5.0,1
2020-08-28,15.0,15.0,1
2020-08-29,6.0,6.0,1
2020-08-30,5.0,5.0,1
2020-08-31,9.0,9.0,1
2020-09-01,5.0,5.0,1
2020-09-02,0.0,0.0,1
2020-09-03,10.0,10.0,1
2020-09-04,10.0,10.0,1
2020-09-05,0.0,0.0,1
2020-09-06,5.0,5.0,1
2020-09-07,0.0,0.0,1
2020-09-08,19.0,19.0,1
2020-09-09,5.0,5.0,1
2020-09-10,15.0,15.0,1
2020-09-11,5.0,5.0,1
2020-09-12,6.0,6.0,1
2020-09-13,0.0,0.0,1
2020-09-14,14.0,14.0,1
2020-09-15,5.0,5.0,1
2020-09-16,0.0,0.0,1
2020-09-17,10.0,10.0,1
2020-09-18,10.0,10.0,1
2020-09-19,0.0,0.0,1
2020-09-20,6.0,6.0,1
2020-09-21,5.0,5.0,1
2020-09-22,5.0,5.0,1
2020-09-23,10.0,10.0,1
2020-09-24,10.0,10.0,1
2020-09-25,15.0,15.0,1
2020-09-26,0.0,0.0,1
2020-09-27,0.0,0.0,1
2020-09-28,5.0,5.0,1
2020-09-29,0.0,0.0,1
2020-09-30,5.0,5.0,1
2020-10-01,0.0,0.0,1
2020-10-02,5.0,5.0,1
2020-10-03,5.0,5.0,1
2020-10-04,5.0,5.0,1
2020-10-05,5.0,5.0,1
2020-10-06,5.0,5.0,1
2020-10-07,14.0,14.0,1
2020-10-08,14.0,14.0,1
2020-10-09,21.0,21.0,1
2020-10-10,0.0,0.0,1
2020-10-11,11.0,11.0,1
2020-10-12,5.0,5.0,1
2020-10-13,5.0,5.0,1
2020-10-14,5.0,5.0,1
2020-10-15,0.0,0.0,1
2020-10-16,5.0,5.0,1
2020-10-17,0.0,0.0,1
2020-10-18,6.0,6.0,1
2020-10-19,10.0,10.0,1
2020-10-20,0.0,0.0,1
2020-10-21,5.0,5.0,1
2020-10-22,10.0,10.0,1
2020-10-23,10.0,10.0,1
2020-10-24,6.0,6.0,1
2020-10-25,5.0,5.0,1
2020-10-26,9.0,9.0,1
2020-10-27,14.0,14.0,1
2020-09-28,37.0,37.0,2
2020-09-29,0.0,0.0,2
2020-09-30,38.0,38.0,2
2020-10-01,38.0,38.0,2
2020-10-02,99.0,99.0,2
2020-10-03,42.0,42.0,2
2020-10-04,62.0,62.0,2
2020-10-05,0.0,0.0,2
2020-10-06,18.0,18.0,2
2020-10-07,55.0,55.0,2
2020-10-08,56.0,56.0,2
2020-10-09,21.0,21.0,2
2020-10-10,0.0,0.0,2
2020-10-11,44.0,44.0,2
2020-10-12,0.0,0.0,2
2020-10-13,0.0,0.0,2
2020-10-14,0.0,0.0,2
2020-10-15,0.0,0.0,2
2020-10-16,40.0,40.0,2
2020-10-17,22.0,22.0,2
2020-10-18,0.0,0.0,2
2020-10-19,19.0,19.0,2
2020-10-20,19.0,19.0,2
2020-10-21,19.0,19.0,2
2020-10-22,58.0,58.0,2
2020-10-23,20.0,20.0,2
2020-10-24,22.0,22.0,2
2020-10-25,41.0,41.0,2
2020-10-26,36.0,36.0,2
2020-10-27,0.0,0.0,2
2020-10-28,0.0,0.0,2
2020-10-29,57.0,57.0,2
2020-10-30,39.0,39.0,2
2020-10-31,44.0,44.0,2
2020-11-01,0.0,0.0,2
2020-11-02,37.0,37.0,2
2020-11-03,0.0,0.0,2
2020-11-04,16.0,16.0,2
2020-11-05,16.0,16.0,2
2020-11-06,0.0,0.0,2
2020-11-07,39.0,39.0,2
2020-11-08,0.0,0.0,2
2020-11-09,0.0,0.0,2
2020-11-10,18.0,18.0,2
2020-11-11,55.0,55.0,2
2020-11-12,0.0,0.0,2
2020-11-13,40.0,40.0,2
2020-11-14,0.0,0.0,2
2020-11-15,21.0,21.0,2
2020-11-16,0.0,0.0,2
2020-11-17,18.0,18.0,2
2020-11-18,0.0,0.0,2
2020-11-19,37.0,37.0,2
2020-11-20,0.0,0.0,2
2020-11-21,64.0,64.0,2
2020-11-22,41.0,41.0,2
2020-11-23,0.0,0.0,2
2020-11-24,54.0,54.0,2
2020-11-25,0.0,0.0,2
2020-11-26,37.0,37.0,2
2020-11-27,19.0,19.0,2
2020-11-28,22.0,22.0,2
2020-11-29,0.0,0.0,2
2020-11-30,18.0,18.0,2
2020-12-01,18.0,18.0,2
2020-12-02,37.0,37.0,2
2020-12-03,37.0,37.0,2
2020-12-04,39.0,39.0,2
2020-12-05,22.0,22.0,2
2020-12-06,100.0,100.0,2
2020-12-07,18.0,18.0,2
2020-12-08,0.0,0.0,2
2020-12-09,18.0,18.0,2
2020-12-10,37.0,37.0,2
2020-12-11,0.0,0.0,2
2020-12-12,20.0,20.0,2
2020-12-13,0.0,0.0,2
2020-12-14,18.0,18.0,2
2020-12-15,18.0,18.0,2
2020-12-16,55.0,55.0,2
2020-12-17,37.0,37.0,2
2020-12-18,0.0,0.0,2
2020-12-19,22.0,22.0,2
2020-12-20,42.0,42.0,2
2020-12-21,20.0,20.0,2
2020-12-22,40.0,40.0,2
2020-12-23,21.0,21.0,2
2020-12-24,26.0,26.0,2
2020-12-25,0.0,0.0,2
2020-12-26,23.0,23.0,2
2020-12-27,0.0,0.0,2
2020-12-28,20.0,20.0,2
2020-12-29,79.0,79.0,2
2020-12-30,41.0,41.0,2
2020-12-31,23.0,23.0,2
2021-01-01,23.0,23.0,2
2021-01-02,0.0,0.0,2
2021-01-03,0.0,0.0,2
2021-01-04,18.0,18.0,2
2021-01-05,17.0,17.0,2
2021-01-06,55.0,55.0,2
2021-01-07,0.0,0.0,2
2021-01-08,18.0,18.0,2
2021-01-09,0.0,0.0,2
2021-01-10,0.0,0.0,2
2021-01-11,0.0,0.0,2
2021-01-12,0.0,0.0,2
2021-01-13,17.0,17.0,2
2021-01-14,18.0,18.0,2
2021-01-15,36.0,36.0,2
2021-01-16,62.0,62.0,2
2021-01-17,0.0,0.0,2
2021-01-18,0.0,0.0,2
2021-01-19,16.0,16.0,2
2021-01-20,85.0,85.0,2
2021-01-21,35.0,35.0,2
2021-01-22,36.0,36.0,2
2021-01-23,0.0,0.0,2
2021-01-24,0.0,0.0,2
2021-01-25,17.0,17.0,2
2021-01-26,51.0,51.0,2
2021-01-27,0.0,0.0,2
2021-01-28,34.0,34.0,2
2021-01-29,0.0,0.0,2
2021-01-30,41.0,41.0,2
2021-01-31,20.0,20.0,2
2021-02-01,0.0,0.0,2
2021-02-02,0.0,0.0,2
2021-02-03,0.0,0.0,2
2021-02-04,0.0,0.0,2
2021-02-05,18.0,18.0,2
2021-02-06,0.0,0.0,2
2021-02-07,0.0,0.0,2
2021-02-08,35.0,35.0,2
2021-02-09,18.0,18.0,2
2021-02-10,0.0,0.0,2
2021-02-11,18.0,18.0,2
2021-02-12,0.0,0.0,2
2021-02-13,0.0,0.0,2
2021-02-14,0.0,0.0,2
2021-02-15,69.0,69.0,2
2021-02-16,0.0,0.0,2
2021-02-17,18.0,18.0,2
2021-02-18,0.0,0.0,2
2021-02-19,0.0,0.0,2
2021-02-20,0.0,0.0,2
2021-02-21,0.0,0.0,2
2021-02-22,0.0,0.0,2
2021-02-23,72.0,72.0,2
2021-02-24,18.0,18.0,2
2021-02-25,37.0,37.0,2
2021-02-26,0.0,0.0,2
2021-02-27,0.0,0.0,2
2021-02-28,0.0,0.0,2
2021-03-01,18.0,18.0,2
2021-03-02,18.0,18.0,2
2021-03-03,36.0,36.0,2
2021-03-04,52.0,52.0,2
2021-03-05,0.0,0.0,2
2021-03-06,42.0,42.0,2
2021-03-07,20.0,20.0,2
2021-03-08,0.0,0.0,2
2021-03-09,0.0,0.0,2
2021-03-10,35.0,35.0,2
2021-03-11,35.0,35.0,2
2021-03-12,18.0,18.0,2
2021-03-13,0.0,0.0,2
2021-03-14,37.0,37.0,2
2021-03-15,14.0,14.0,2
2021-03-16,32.0,32.0,2
2021-03-17,0.0,0.0,2
2021-03-18,36.0,36.0,2
2021-03-19,18.0,18.0,2
2021-03-20,0.0,0.0,2
2021-03-21,78.0,78.0,2
2021-03-22,0.0,0.0,2
2021-03-23,17.0,17.0,2
2021-03-24,37.0,37.0,2
2021-03-25,0.0,0.0,2
2021-03-26,0.0,0.0,2
2021-03-27,0.0,0.0,2
2021-03-28,21.0,21.0,2
2021-03-29,0.0,0.0,2
2021-03-30,20.0,20.0,2
2021-03-31,0.0,0.0,2
2021-04-01,41.0,41.0,2
2021-04-02,21.0,21.0,2
2021-04-03,0.0,0.0,2
2021-04-04,0.0,0.0,2
2021-04-05,0.0,0.0,2
2021-04-06,35.0,35.0,2
2021-04-07,88.0,88.0,2
2021-04-08,0.0,0.0,2
2021-04-09,19.0,19.0,2
2021-04-10,41.0,41.0,2
2021-04-11,0.0,0.0,2
2021-04-12,0.0,0.0,2
2021-04-13,52.0,52.0,2
2021-04-14,18.0,18.0,2
2021-04-15,36.0,36.0,2
2021-04-16,18.0,18.0,2
2021-04-17,21.0,21.0,2
2021-04-18,0.0,0.0,2
2021-04-19,34.0,34.0,2
2021-04-20,17.0,17.0,2
2021-04-21,18.0,18.0,2
2021-04-22,35.0,35.0,2
2021-04-23,0.0,0.0,2
2021-04-24,0.0,0.0,2
2021-04-25,63.0,63.0,2
2021-04-26,17.0,17.0,2
2021-04-27,0.0,0.0,2
2021-04-28,0.0,0.0,2
2021-04-29,0.0,0.0,2
2021-04-30,18.0,18.0,2
2021-05-01,20.0,20.0,2
2021-05-02,0.0,0.0,2
2021-05-03,0.0,0.0,2
2021-05-04,65.0,65.0,2
2021-05-05,17.0,17.0,2
2021-05-06,17.0,17.0,2
2021-05-07,17.0,17.0,2
2021-05-08,21.0,21.0,2
2021-05-09,22.0,22.0,2
2021-05-10,17.0,17.0,2
2021-05-11,0.0,0.0,2
2021-05-12,35.0,35.0,2
2021-05-13,20.0,20.0,2
2021-05-14,76.0,76.0,2
2021-05-15,60.0,60.0,2
2021-05-16,19.0,19.0,2
2021-05-17,0.0,0.0,2
2021-05-18,0.0,0.0,2
2021-05-19,17.0,17.0,2
2021-05-20,54.0,54.0,2
2021-05-21,0.0,0.0,2
2021-05-22,0.0,0.0,2
2021-05-23,40.0,40.0,2
2021-05-24,20.0,20.0,2
2021-05-25,0.0,0.0,2
2021-05-26,0.0,0.0,2
2021-05-27,52.0,52.0,2
2021-05-28,0.0,0.0,2
2021-05-29,0.0,0.0,2
