FR-B, Fièvre, /m/0cjf0, 2020-11-07T06 2020-11-15T05
FR-B, Épidémie, /m/0hn9s, 2020-12-06T18 2020-12-14T17
FR-B, Symptôme, /m/01b_06, 2020-12-06T18 2020-12-14T17
FR-B, Thermomètre, /m/07mf1, 2020-12-06T18 2020-12-14T17
FR-B, Grippe espagnole, /m/01c751, 2020-12-06T18 2020-12-14T17
FR-B, Paracétamol, /m/0lbt3, 2020-12-06T18 2020-12-14T17
FR-B, Respiration, /m/02gy9_, 2020-12-06T18 2020-12-14T17
FR-B, Toux, /m/01b_21, 2020-12-06T18 2020-12-14T17
FR-B, Coronavirus, /m/01cpyy, 2020-12-06T18 2020-12-14T17
FR-B, Fièvre, /m/0cjf0, 2021-01-05T06 2021-01-13T05
FR-B, Mal de gorge, /m/0b76bty, 2021-01-05T06 2021-01-13T05
FR-B, Dyspnée, /m/01cdt5, 2021-01-05T06 2021-01-13T05
FR-B, Agueusie, /m/05sfr2, 2021-01-05T06 2021-01-13T05
FR-B, Anosmie, /m/0m7pl, 2021-01-05T06 2021-01-13T05
FR-B, Virus, /m/0g9pc, 2021-01-05T06 2021-01-13T05
FR-B, Épidémie, /m/0hn9s, 2021-01-05T06 2021-01-13T05
FR-B, Symptôme, /m/01b_06, 2021-01-05T06 2021-01-13T05
FR-B, Thermomètre, /m/07mf1, 2021-01-05T06 2021-01-13T05
FR-B, Grippe espagnole, /m/01c751, 2021-01-05T06 2021-01-13T05
FR-B, Paracétamol, /m/0lbt3, 2021-01-05T06 2021-01-13T05
FR-B, Respiration, /m/02gy9_, 2021-01-05T06 2021-01-13T05
FR-B, Toux, /m/01b_21, 2021-01-05T06 2021-01-13T05
FR-B, Coronavirus, /m/01cpyy, 2021-01-05T06 2021-01-13T05
FR-B, Dyspnée, /m/01cdt5, 2021-01-27T09 2021-02-04T08
FR-B, Agueusie, /m/05sfr2, 2021-01-27T09 2021-02-04T08
FR-B, Anosmie, /m/0m7pl, 2021-01-27T09 2021-02-04T08
FR-B, Virus, /m/0g9pc, 2021-01-27T09 2021-02-04T08
FR-B, Épidémie, /m/0hn9s, 2021-01-27T09 2021-02-04T08
FR-B, Thermomètre, /m/07mf1, 2021-01-27T09 2021-02-04T08
FR-B, Grippe espagnole, /m/01c751, 2021-01-27T09 2021-02-04T08
FR-B, Paracétamol, /m/0lbt3, 2021-01-27T09 2021-02-04T08
FR-B, Respiration, /m/02gy9_, 2021-01-27T09 2021-02-04T08
FR-B, Toux, /m/01b_21, 2021-01-27T09 2021-02-04T08
FR-B, Coronavirus, /m/01cpyy, 2021-01-27T09 2021-02-04T08
FR-B, Fièvre, /m/0cjf0, 2021-02-18T12 2021-02-26T11
FR-B, Mal de gorge, /m/0b76bty, 2021-02-18T12 2021-02-26T11
FR-B, Symptôme, /m/01b_06, 2021-02-18T12 2021-02-26T11
FR-B, Dyspnée, /m/01cdt5, 2021-02-18T12 2021-02-26T11
FR-B, Agueusie, /m/05sfr2, 2021-02-18T12 2021-02-26T11
FR-B, Anosmie, /m/0m7pl, 2021-02-18T12 2021-02-26T11
FR-B, Virus, /m/0g9pc, 2021-02-18T12 2021-02-26T11
FR-B, Épidémie, /m/0hn9s, 2021-02-18T12 2021-02-26T11
FR-B, Thermomètre, /m/07mf1, 2021-02-18T12 2021-02-26T11
FR-B, Grippe espagnole, /m/01c751, 2021-02-18T12 2021-02-26T11
FR-B, Paracétamol, /m/0lbt3, 2021-02-18T12 2021-02-26T11
FR-B, Respiration, /m/02gy9_, 2021-02-18T12 2021-02-26T11
FR-B, Toux, /m/01b_21, 2021-02-18T12 2021-02-26T11
FR-B, Coronavirus, /m/01cpyy, 2021-02-18T12 2021-02-26T11
